,123,111,222,333,444,55,66
0,12341,12341,12341,12341,12341,12341,12341
1,12341,12341,12341,12341,12341,12341,12341
2,12341,12341,12341,12341,12341,12341,12341
3,12341,12341,12341,12341,12341,12341,12341
4,12341,12341,12341,12341,12341,12341,12341
5,12341,12341,12341,12341,12341,12341,12341
6,12341,12341,12341,12341,12341,12341,12341
7,12341,12341,12341,12341,12341,12341,12341
8,12341,12341,12341,12341,12341,12341,12341
9,12341,12341,12341,12341,12341,12341,12341
10,12341,12341,12341,12341,12341,12341,12341
11,12341,12341,12341,12341,12341,12341,12341
12,12341,12341,12341,12341,12341,12341,12341
13,12341,12341,12341,12341,12341,12341,12341
14,12341,12341,12341,12341,12341,12341,12341
