attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,53,M,3,Uneducated,Married,$40K - $60K,Blue,2885.0
Existing Customer,44,F,4,High School,Married,$40K - $60K,Blue,4553.0
Existing Customer,46,F,3,College,Single,$40K - $60K,Blue,2208.0
Existing Customer,31,F,1,Unknown,Single,Less than $40K,Blue,3318.0
Existing Customer,43,M,2,Graduate,Single,$80K - $120K,Blue,5858.0
Existing Customer,28,M,0,Graduate,Married,$40K - $60K,Blue,3823.0
Existing Customer,33,M,1,Uneducated,Married,$40K - $60K,Blue,3032.0
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,3683.0
Existing Customer,32,M,1,Unknown,Single,$60K - $80K,Blue,23507.0
Existing Customer,59,M,2,Uneducated,Married,$60K - $80K,Blue,1438.3
Attrited Customer,40,M,4,High School,Married,$60K - $80K,Blue,2583.0
Existing Customer,56,F,5,High School,Married,$40K - $60K,Blue,6803.0
Existing Customer,53,M,3,College,Single,$120K +,Blue,3088.0
Attrited Customer,45,F,4,Graduate,Married,Less than $40K,Blue,3313.0
Existing Customer,43,F,5,High School,Married,Unknown,Blue,5417.0
Existing Customer,51,F,3,High School,Married,Unknown,Blue,11167.0
Existing Customer,50,F,0,Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,50,F,2,High School,Single,$40K - $60K,Blue,1479.0
Existing Customer,43,M,1,Unknown,Single,$60K - $80K,Blue,5951.0
Existing Customer,34,M,2,Graduate,Single,Less than $40K,Silver,12338.0
Existing Customer,60,F,0,High School,Single,Unknown,Blue,3359.0
Existing Customer,45,F,2,College,Married,Less than $40K,Blue,1640.0
Existing Customer,44,F,1,Graduate,Married,$40K - $60K,Blue,3881.0
Existing Customer,46,M,4,Graduate,Single,$120K +,Blue,34516.0
Existing Customer,41,M,2,College,Divorced,$120K +,Blue,12248.0
Attrited Customer,46,F,4,Unknown,Married,Less than $40K,Blue,1438.3
Existing Customer,52,M,1,Post-Graduate,Single,$60K - $80K,Blue,4573.0
Existing Customer,60,F,0,Doctorate,Married,Unknown,Blue,7427.0
Existing Customer,30,F,0,High School,Single,Less than $40K,Blue,2112.0
Existing Customer,42,M,3,Graduate,Married,$60K - $80K,Blue,5071.0
Existing Customer,42,M,4,Uneducated,Married,$40K - $60K,Silver,19281.0
Existing Customer,48,M,3,Graduate,Single,$40K - $60K,Blue,9949.0
Existing Customer,55,M,2,Doctorate,Single,$80K - $120K,Blue,3046.0
Attrited Customer,35,F,4,Uneducated,Single,Less than $40K,Blue,1707.0
Existing Customer,53,M,3,Uneducated,Married,$60K - $80K,Blue,2501.0
Existing Customer,48,F,2,High School,Married,Unknown,Blue,8446.0
Existing Customer,39,M,4,High School,Married,$60K - $80K,Blue,16565.0
Existing Customer,47,F,2,Doctorate,Married,Less than $40K,Blue,1438.3
Existing Customer,47,F,2,Unknown,Married,Less than $40K,Blue,1438.3
Attrited Customer,42,F,1,High School,Single,Less than $40K,Blue,1568.0
Attrited Customer,35,F,1,Doctorate,Married,$40K - $60K,Blue,1976.0
Existing Customer,48,M,1,Uneducated,Married,$60K - $80K,Silver,32535.0
Existing Customer,26,M,0,Unknown,Single,Less than $40K,Blue,4700.0
Existing Customer,38,F,3,High School,Single,$40K - $60K,Blue,2363.0
Attrited Customer,29,M,0,Graduate,Single,Less than $40K,Blue,3585.0
Existing Customer,46,M,2,High School,Single,$120K +,Blue,27858.0
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver,34516.0
Existing Customer,41,M,4,Doctorate,Married,$80K - $120K,Blue,20371.0
Attrited Customer,41,F,4,Graduate,Married,Less than $40K,Blue,2892.0
Attrited Customer,51,M,3,High School,Married,$80K - $120K,Blue,32096.0
Existing Customer,48,F,4,High School,Married,Less than $40K,Blue,2374.0
Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,12299.0
Existing Customer,40,F,4,Unknown,Married,Less than $40K,Blue,5645.0
Existing Customer,42,F,3,Graduate,Single,$40K - $60K,Blue,3376.0
Existing Customer,50,F,0,Graduate,Married,Less than $40K,Blue,1438.3
Attrited Customer,40,M,4,High School,Married,$60K - $80K,Blue,11476.0
Existing Customer,52,F,3,Uneducated,Divorced,Less than $40K,Blue,3747.0
Existing Customer,50,M,4,High School,Married,$120K +,Blue,34516.0
Existing Customer,51,M,1,High School,Married,$120K +,Blue,19709.0
Existing Customer,34,F,1,Graduate,Single,$40K - $60K,Blue,1888.0
Attrited Customer,36,M,3,Graduate,Single,$60K - $80K,Silver,34516.0
Existing Customer,45,F,3,Unknown,Divorced,Less than $40K,Blue,8121.0
Existing Customer,42,M,3,High School,Married,$80K - $120K,Blue,18177.0
Existing Customer,48,M,2,Graduate,Married,$80K - $120K,Blue,29219.0
Existing Customer,49,F,3,Graduate,Divorced,$40K - $60K,Blue,2476.0
Existing Customer,47,F,4,Graduate,Single,Less than $40K,Blue,2646.0
Existing Customer,52,F,1,Doctorate,Married,Unknown,Blue,7508.0
Existing Customer,44,F,1,High School,Single,Unknown,Blue,7627.0
