attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,49,M,4,Unknown,Single,$80K - $120K,Blue,5965.0
Existing Customer,30,F,1,College,Single,Less than $40K,Blue,4945.0
Existing Customer,47,M,3,High School,Married,$40K - $60K,Blue,4785.0
Existing Customer,31,F,1,Unknown,Divorced,Unknown,Blue,3926.0
Existing Customer,48,F,3,Graduate,Divorced,Unknown,Blue,8279.0
Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,2404.0
Existing Customer,55,F,4,Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,45,M,5,High School,Married,$120K +,Blue,12725.0
Existing Customer,43,F,3,High School,Unknown,$40K - $60K,Blue,3585.0
Existing Customer,47,M,4,Uneducated,Married,$60K - $80K,Silver,33211.0
Existing Customer,50,F,3,High School,Single,$40K - $60K,Blue,3367.0
Existing Customer,55,M,1,High School,Married,$60K - $80K,Blue,14539.0
Existing Customer,41,M,4,Post-Graduate,Married,$60K - $80K,Blue,1950.0
Existing Customer,56,F,2,Graduate,Single,$40K - $60K,Blue,5332.0
Attrited Customer,51,F,2,Graduate,Unknown,$40K - $60K,Blue,2505.0
Existing Customer,48,M,3,Unknown,Unknown,$40K - $60K,Blue,6340.0
Existing Customer,34,F,2,Graduate,Married,Less than $40K,Blue,2158.0
Existing Customer,31,M,0,Unknown,Unknown,$40K - $60K,Blue,7327.0
Existing Customer,39,M,2,Unknown,Divorced,$40K - $60K,Blue,7452.0
Existing Customer,46,M,4,Post-Graduate,Married,$80K - $120K,Blue,20640.0
Existing Customer,42,F,2,High School,Married,Unknown,Blue,2264.0
Existing Customer,51,M,3,Unknown,Married,$80K - $120K,Blue,6030.0
Existing Customer,40,F,1,Unknown,Married,Less than $40K,Blue,2580.0
Existing Customer,47,F,2,College,Married,$40K - $60K,Blue,2804.0
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Blue,4568.0
Existing Customer,49,M,3,Uneducated,Divorced,$80K - $120K,Blue,15594.0
Existing Customer,49,F,2,Doctorate,Married,Unknown,Blue,2672.0
Existing Customer,37,F,3,Post-Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,40,F,3,Uneducated,Divorced,$40K - $60K,Blue,2647.0
Existing Customer,51,F,0,Graduate,Married,Less than $40K,Blue,3132.0
Existing Customer,36,M,4,College,Single,$80K - $120K,Blue,14544.0
Existing Customer,39,F,3,Graduate,Single,Less than $40K,Blue,6587.0
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,16258.0
