attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,34,F,3,Graduate,Single,$40K - $60K,Blue,3433.0
Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,2658.0
Attrited Customer,58,M,1,Unknown,Single,$120K +,Gold,22722.0
Attrited Customer,50,M,1,Post-Graduate,Single,$120K +,Silver,34516.0
Existing Customer,51,M,4,High School,Single,$40K - $60K,Blue,10017.0
Attrited Customer,42,F,3,Graduate,Married,Less than $40K,Blue,5505.0
Existing Customer,53,F,2,Graduate,Married,Unknown,Blue,11794.0
Attrited Customer,49,F,3,Graduate,Single,Less than $40K,Blue,1675.0
Attrited Customer,51,M,5,Unknown,Married,$120K +,Blue,23898.0
Existing Customer,60,F,0,Doctorate,Single,Unknown,Blue,7508.0
Existing Customer,49,M,5,High School,Married,$60K - $80K,Blue,11376.0
Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Blue,11247.0
Existing Customer,48,M,5,Post-Graduate,Married,$80K - $120K,Blue,8714.0
Existing Customer,51,M,2,Graduate,Married,$60K - $80K,Silver,28229.0
Existing Customer,51,F,3,Graduate,Single,Less than $40K,Blue,1815.0
Attrited Customer,54,F,2,Unknown,Unknown,$40K - $60K,Silver,21681.0
Attrited Customer,53,F,2,Graduate,Single,Less than $40K,Blue,1438.3
Attrited Customer,42,M,0,Uneducated,Married,$80K - $120K,Blue,12464.0
Existing Customer,44,M,4,Uneducated,Married,$80K - $120K,Silver,34516.0
Existing Customer,47,F,2,College,Married,Less than $40K,Blue,1438.3
Existing Customer,46,F,3,Graduate,Married,Less than $40K,Blue,7051.0
Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,5362.0
Existing Customer,43,F,4,College,Unknown,Less than $40K,Blue,2459.0
Existing Customer,54,M,1,Unknown,Single,$80K - $120K,Blue,34516.0
Existing Customer,42,M,3,Graduate,Married,$60K - $80K,Blue,6280.0
Existing Customer,42,M,3,Post-Graduate,Married,$60K - $80K,Blue,6114.0
Existing Customer,54,M,1,Unknown,Married,$80K - $120K,Blue,32558.0
Existing Customer,27,M,0,Graduate,Married,Unknown,Blue,11332.0
Attrited Customer,50,M,2,High School,Married,$40K - $60K,Blue,2219.0
Existing Customer,39,F,1,Post-Graduate,Single,Less than $40K,Blue,2132.0
Existing Customer,33,M,1,Uneducated,Married,$40K - $60K,Blue,3032.0
Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,16794.0
Existing Customer,30,F,0,College,Married,Less than $40K,Blue,2156.0
Attrited Customer,57,F,3,Unknown,Single,Less than $40K,Blue,3214.0
Existing Customer,37,F,2,High School,Unknown,Unknown,Silver,34516.0
Existing Customer,33,F,2,High School,Single,Unknown,Blue,4319.0
Existing Customer,39,F,1,Uneducated,Married,$40K - $60K,Blue,2235.0
Attrited Customer,42,M,0,Unknown,Single,$80K - $120K,Silver,34516.0
Existing Customer,33,F,3,Unknown,Single,Less than $40K,Blue,6131.0
Existing Customer,53,F,1,Graduate,Married,Unknown,Blue,17642.0
Existing Customer,52,M,0,Graduate,Single,$80K - $120K,Blue,10648.0
Existing Customer,48,M,3,Graduate,Single,$40K - $60K,Blue,9949.0
Existing Customer,51,M,2,College,Married,$120K +,Blue,23898.0
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,15845.0
Attrited Customer,59,F,0,High School,Single,Less than $40K,Blue,3989.0
Existing Customer,44,M,3,Graduate,Single,$40K - $60K,Blue,2477.0
Attrited Customer,54,F,1,Unknown,Married,Unknown,Silver,34516.0
Existing Customer,39,F,1,Graduate,Single,Less than $40K,Blue,2867.0
Existing Customer,44,F,3,Graduate,Married,Less than $40K,Blue,1480.0
Existing Customer,44,M,2,Graduate,Single,$40K - $60K,Blue,5570.0
Existing Customer,55,F,1,Graduate,Single,Less than $40K,Blue,1737.0
Existing Customer,52,M,5,Graduate,Married,$80K - $120K,Blue,6052.0
Existing Customer,38,F,2,Uneducated,Single,Less than $40K,Blue,1438.3
