attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,57,F,0,High School,Single,Less than $40K,Blue,2670.0
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,10879.0
Existing Customer,46,M,4,Graduate,Single,$80K - $120K,Blue,1791.0
Existing Customer,42,M,5,High School,Unknown,$40K - $60K,Blue,2247.0
Existing Customer,36,F,3,College,Single,Less than $40K,Blue,2410.0
Existing Customer,32,F,0,Unknown,Single,Less than $40K,Blue,1579.0
Existing Customer,47,F,2,Uneducated,Unknown,Less than $40K,Silver,11128.0
Attrited Customer,43,M,3,Unknown,Single,$80K - $120K,Blue,12559.0
Existing Customer,46,F,4,High School,Married,Less than $40K,Blue,2374.0
Existing Customer,39,M,4,Uneducated,Single,$80K - $120K,Blue,11561.0
Existing Customer,43,F,3,Unknown,Married,Unknown,Blue,6971.0
Existing Customer,42,M,2,Graduate,Unknown,$120K +,Silver,34516.0
Existing Customer,56,M,4,Unknown,Single,$60K - $80K,Blue,15219.0
Existing Customer,51,M,1,Uneducated,Single,$80K - $120K,Blue,34516.0
Existing Customer,43,F,4,Graduate,Single,Unknown,Blue,10503.0
Attrited Customer,49,F,0,Post-Graduate,Single,$40K - $60K,Blue,1438.3
Existing Customer,44,F,1,High School,Married,Less than $40K,Blue,1522.0
Existing Customer,43,F,5,Uneducated,Married,Less than $40K,Blue,3006.0
Attrited Customer,52,F,3,Uneducated,Single,Unknown,Blue,10273.0
Attrited Customer,35,M,4,Uneducated,Single,$120K +,Silver,34516.0
Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,7653.0
Existing Customer,51,F,3,Graduate,Married,$40K - $60K,Blue,5678.0
Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,33791.0
Existing Customer,42,M,3,Uneducated,Divorced,$120K +,Blue,5119.0
Attrited Customer,45,F,3,Graduate,Married,Less than $40K,Blue,1759.0
Existing Customer,37,F,1,College,Married,$40K - $60K,Blue,4760.0
Attrited Customer,40,M,3,High School,Unknown,$60K - $80K,Blue,4283.0
Existing Customer,37,F,3,Graduate,Married,Unknown,Blue,4502.0
Existing Customer,50,M,2,High School,Unknown,$60K - $80K,Blue,1870.0
Existing Customer,51,M,3,Graduate,Married,$120K +,Blue,7932.0
Existing Customer,38,M,2,Unknown,Single,$40K - $60K,Blue,11068.0
Existing Customer,45,F,4,Unknown,Married,Less than $40K,Blue,7924.0
Existing Customer,55,M,2,Graduate,Single,$80K - $120K,Silver,34516.0
Existing Customer,39,M,2,Post-Graduate,Single,$60K - $80K,Blue,3388.0
Existing Customer,49,M,3,Graduate,Single,$120K +,Blue,18284.0
Existing Customer,65,F,0,Graduate,Single,$40K - $60K,Blue,3930.0
Existing Customer,45,F,3,Graduate,Single,Unknown,Blue,2420.0
Existing Customer,39,F,2,Unknown,Single,Less than $40K,Blue,1781.0
Attrited Customer,57,F,2,Uneducated,Single,$40K - $60K,Blue,6145.0
Attrited Customer,52,F,2,Graduate,Unknown,Less than $40K,Blue,3111.0
Attrited Customer,33,F,1,Graduate,Married,$40K - $60K,Blue,1632.0
Existing Customer,54,F,3,Doctorate,Single,Less than $40K,Blue,9256.0
Existing Customer,51,M,2,College,Single,$80K - $120K,Blue,34516.0
