attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,29,F,0,Unknown,Single,Unknown,Blue,12007.0
Existing Customer,36,F,1,Unknown,Single,Less than $40K,Blue,7554.0
Attrited Customer,36,F,3,Graduate,Unknown,Less than $40K,Blue,2580.0
Attrited Customer,54,F,1,College,Married,Less than $40K,Blue,4090.0
Existing Customer,53,M,3,College,Single,$60K - $80K,Blue,9551.0
Existing Customer,52,M,2,Uneducated,Single,$120K +,Blue,7135.0
Existing Customer,63,M,0,High School,Single,$60K - $80K,Blue,2706.0
Existing Customer,57,M,1,Doctorate,Unknown,$120K +,Blue,8858.0
Existing Customer,48,M,4,High School,Married,$80K - $120K,Blue,10761.0
Existing Customer,59,F,1,Post-Graduate,Married,Less than $40K,Blue,4945.0
Existing Customer,49,M,2,Graduate,Divorced,$40K - $60K,Blue,6509.0
Attrited Customer,58,F,1,High School,Single,Less than $40K,Blue,2601.0
Existing Customer,34,F,4,Post-Graduate,Married,Less than $40K,Blue,2291.0
Existing Customer,38,M,3,Unknown,Married,Less than $40K,Blue,2218.0
Existing Customer,48,F,2,Uneducated,Divorced,Less than $40K,Blue,3281.0
Attrited Customer,61,F,0,High School,Married,Less than $40K,Blue,4049.0
Existing Customer,48,F,5,Post-Graduate,Married,Less than $40K,Blue,2972.0
Existing Customer,38,M,3,Graduate,Married,$60K - $80K,Blue,2536.0
Existing Customer,37,F,2,High School,Unknown,Unknown,Blue,14831.0
Existing Customer,44,F,2,Graduate,Married,Less than $40K,Blue,4852.0
Existing Customer,44,M,4,College,Divorced,$80K - $120K,Silver,34516.0
Existing Customer,60,M,1,Unknown,Single,$120K +,Blue,9272.0
Existing Customer,37,M,2,Doctorate,Single,$60K - $80K,Blue,1606.0
Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,3731.0
Existing Customer,60,F,0,College,Single,$40K - $60K,Blue,4599.0
Attrited Customer,38,F,2,Uneducated,Single,$40K - $60K,Silver,17894.0
Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,8688.0
Existing Customer,44,F,4,Graduate,Divorced,Less than $40K,Blue,1774.0
Existing Customer,31,F,2,Unknown,Divorced,Less than $40K,Blue,1630.0
Attrited Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,6266.0
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Silver,16277.0
Existing Customer,46,M,5,Uneducated,Married,$60K - $80K,Blue,11634.0
Attrited Customer,51,M,1,Unknown,Single,$80K - $120K,Blue,3460.0
Existing Customer,49,M,1,Unknown,Married,$40K - $60K,Blue,2219.0
Attrited Customer,46,M,3,Uneducated,Divorced,Less than $40K,Silver,12695.0
Existing Customer,36,F,3,Graduate,Single,$40K - $60K,Blue,3433.0
Existing Customer,45,M,3,Graduate,Single,$40K - $60K,Blue,2259.0
Existing Customer,35,M,3,High School,Single,$40K - $60K,Blue,12714.0
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,4396.0
Existing Customer,39,F,2,Graduate,Divorced,$40K - $60K,Silver,18737.0
Existing Customer,42,F,2,Uneducated,Married,Unknown,Blue,4708.0
Existing Customer,61,M,1,High School,Single,$60K - $80K,Silver,25502.0
Existing Customer,46,F,2,College,Unknown,Less than $40K,Blue,3073.0
Existing Customer,49,F,3,Graduate,Single,$40K - $60K,Blue,5400.0
Existing Customer,42,M,3,Uneducated,Single,$60K - $80K,Blue,13961.0
Existing Customer,55,F,0,Graduate,Single,Less than $40K,Blue,2945.0
Existing Customer,43,M,3,College,Unknown,$120K +,Blue,19715.0
Existing Customer,45,M,5,High School,Married,$80K - $120K,Blue,21165.0
Existing Customer,32,M,0,Graduate,Divorced,Less than $40K,Blue,6012.0
Existing Customer,50,F,2,Unknown,Single,Unknown,Blue,10417.0
Existing Customer,53,M,3,Graduate,Single,$120K +,Blue,17018.0
Existing Customer,53,F,3,Graduate,Married,Unknown,Blue,4861.0
Existing Customer,62,M,0,Graduate,Married,$60K - $80K,Blue,3264.0
Existing Customer,45,F,1,Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,41,M,5,Unknown,Married,$60K - $80K,Blue,18001.0
Existing Customer,50,M,1,Unknown,Married,$120K +,Blue,34516.0
Existing Customer,42,M,3,Graduate,Married,$60K - $80K,Blue,3591.0
Existing Customer,36,M,1,Uneducated,Married,$60K - $80K,Blue,12763.0
Attrited Customer,55,M,3,Unknown,Divorced,$60K - $80K,Blue,11596.0
Existing Customer,48,F,2,Unknown,Married,Less than $40K,Silver,12094.0
Existing Customer,43,F,1,High School,Single,Less than $40K,Blue,1438.3
Attrited Customer,55,M,1,High School,Single,$40K - $60K,Blue,1655.0
Existing Customer,45,M,3,High School,Married,$120K +,Blue,8396.0
Attrited Customer,44,F,3,Graduate,Single,Less than $40K,Blue,1606.0
Existing Customer,50,M,1,College,Married,$80K - $120K,Blue,2418.0
