attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,42,M,3,High School,Married,$80K - $120K,Blue,8376.0
Existing Customer,47,M,3,Post-Graduate,Married,$60K - $80K,Blue,6114.0
Existing Customer,33,F,4,Unknown,Married,Less than $40K,Blue,2925.0
Existing Customer,27,F,0,Graduate,Divorced,Less than $40K,Blue,2543.0
Existing Customer,49,M,3,Uneducated,Married,$60K - $80K,Silver,33211.0
Existing Customer,44,M,3,High School,Single,$80K - $120K,Gold,34516.0
Attrited Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,1601.0
Existing Customer,60,F,0,Unknown,Single,Unknown,Blue,5686.0
Attrited Customer,45,M,3,High School,Married,$40K - $60K,Silver,15785.0
Existing Customer,47,F,2,Doctorate,Married,Less than $40K,Blue,3125.0
Existing Customer,63,F,0,Uneducated,Single,$40K - $60K,Blue,3585.0
Existing Customer,48,F,3,Post-Graduate,Married,Less than $40K,Blue,1438.3
Attrited Customer,47,F,3,College,Single,Less than $40K,Blue,2173.0
Existing Customer,33,F,1,Graduate,Divorced,Less than $40K,Blue,5257.0
Attrited Customer,44,F,4,Graduate,Single,Less than $40K,Blue,1606.0
Existing Customer,39,F,1,Post-Graduate,Single,$40K - $60K,Blue,11135.0
Existing Customer,48,F,3,Post-Graduate,Divorced,Less than $40K,Blue,1986.0
Attrited Customer,57,M,4,High School,Married,$80K - $120K,Blue,11114.0
Existing Customer,65,F,0,Graduate,Married,Unknown,Blue,6463.0
Existing Customer,50,F,1,Graduate,Married,Unknown,Blue,5039.0
Existing Customer,50,F,0,Graduate,Unknown,Less than $40K,Blue,1449.0
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,61,F,0,Post-Graduate,Married,$40K - $60K,Blue,2895.0
Existing Customer,50,F,1,Post-Graduate,Married,Unknown,Blue,3998.0
Attrited Customer,49,M,3,College,Married,$120K +,Blue,34516.0
Existing Customer,40,F,3,Doctorate,Married,Unknown,Blue,3926.0
Existing Customer,48,F,4,Post-Graduate,Unknown,Unknown,Blue,9843.0
Existing Customer,60,F,1,Doctorate,Married,Less than $40K,Blue,1517.0
Existing Customer,47,M,3,High School,Married,$40K - $60K,Blue,2344.0
Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,4883.0
Existing Customer,52,F,4,Uneducated,Single,Unknown,Blue,2561.0
Existing Customer,42,M,3,High School,Single,$80K - $120K,Blue,7901.0
Existing Customer,65,F,0,Graduate,Divorced,Less than $40K,Blue,7478.0
Existing Customer,48,M,3,High School,Single,$40K - $60K,Blue,4003.0
Existing Customer,47,F,5,Unknown,Single,Unknown,Blue,9091.0
Existing Customer,45,M,2,Graduate,Married,$80K - $120K,Blue,11910.0
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,10979.0
Existing Customer,56,F,0,Graduate,Single,Unknown,Blue,34516.0
Attrited Customer,58,M,1,College,Single,$120K +,Blue,3477.0
Existing Customer,50,M,1,Unknown,Married,$120K +,Blue,8220.0
Attrited Customer,41,M,3,Graduate,Married,$80K - $120K,Blue,4725.0
Existing Customer,48,F,4,Graduate,Single,Unknown,Blue,26923.0
Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,5931.0
Existing Customer,53,F,2,High School,Single,Less than $40K,Blue,1438.3
Attrited Customer,36,F,1,Graduate,Married,Less than $40K,Blue,1493.0
Existing Customer,47,F,1,Graduate,Single,$40K - $60K,Blue,8156.0
Existing Customer,57,M,1,High School,Married,$80K - $120K,Blue,12151.0
Existing Customer,40,M,4,Unknown,Unknown,$80K - $120K,Blue,2447.0
Existing Customer,36,M,2,High School,Married,$80K - $120K,Blue,3023.0
Existing Customer,39,M,2,Post-Graduate,Married,$120K +,Blue,8906.0
Existing Customer,29,F,0,Post-Graduate,Married,$40K - $60K,Blue,3043.0
Existing Customer,45,F,3,Unknown,Married,Less than $40K,Blue,6472.0
Existing Customer,65,F,1,Graduate,Single,Unknown,Blue,7869.0
Existing Customer,52,F,4,High School,Single,Less than $40K,Blue,3068.0
Existing Customer,38,M,1,Graduate,Unknown,$40K - $60K,Blue,5639.0
Existing Customer,42,F,4,Uneducated,Single,Unknown,Blue,8795.0
Existing Customer,39,F,2,College,Single,Less than $40K,Blue,1744.0
Existing Customer,48,M,3,Graduate,Married,$120K +,Silver,34516.0
