gender,address,trade_term,recept_balance,age
M,서울시 금천구 시흥1동,3,9658846,28
F,서울시 강북구 삼양동,7,3885329,51
F,서울시 동대문구 휘경2동,9,3070251,23
F,서울시 관악구 대학동,17,527308,25
M,서울시 금천구 신길3동,6,25872319,33
F,서울시 마포구 서교동,2,4332436,45
M,서울시 서대문구 북아현동,9,3070251,60
F,서울시 강남구 압구정동,3,6012616,28
M,서울시 양천구 신정3동,8,5123046,43
M,서울시 강동구 명일1동,10,52290,62
F,서울시 성동구 사근동,15,9066969,65
M,서울시 송파구 잠실2동,1,317036,27
M,서울시 구로구 수궁동,2,23024255,39
M,서울시 은평구 역촌동,7,588961,64
M,서울시 송파구 거여2동,19,7185105,60
M,서울시 은평구 신사1동,15,737178,39
F,서울시 양천구 신정3동,6,266501,32
M,서울시 관악구 삼성동,7,511856,66
F,서울시 중랑구 상봉2동,6,801181,65
M,서울시 중랑구 상봉2동,17,825714,22
M,서울시 동작구 사당3동,13,947226,55
M,서울시 서초구 양재1동,18,425508,52
M,서울시 광진구 화양동,13,906030,51
M,서울시 금천구 시흥5동,15,492838,71
M,서울시 동작구 상도3동,8,5161023,44
F,서울시 강남구 신사동,8,27927,20
F,서울시 은평구 역촌동,16,3539418,56
M,서울시 금천구 당산2동,20,347499,54
F,서울시 성동구 성수2가1동,3,3108148,58
M,서울시 구로구 구로1동,14,7177617,53
M,서울시 관악구 남현동,10,705330,35
F,서울시 양천구 목5동,18,26801032,40
F,서울시 동대문구 제기동,17,4483468,29
F,서울시 광진구 자양3동,8,1937677,44
M,서울시 구로구 구로1동,3,268686,51
F,서울시 송파구 문정1동,1,692350,56
M,서울시 강서구 우장산동,7,4439805,25
M,서울시 서대문구 홍3동,2,909789,34
F,서울시 은평구 갈현1동,4,8621945,23
F,서울시 강서구 화곡3동,6,823884,30
F,서울시 서초구 반포본동,17,416921,51
F,서울시 금천구 신길6동,17,521420,58
M,서울시 중랑구 면목4동,19,3701694,54
M,서울시 중랑구 묵1동,21,393070,37
F,서울시 강북구 미아동,8,28222,46
M,서울시 구로구 구로1동,1,963923,54
F,서울시 양천구 신월2동,17,630474,63
F,서울시 서초구 잠원동,16,876573,34
F,서울시 중랑구 면목5동,5,4582844,60
F,서울시 은평구 진관동,12,249370,56
M,서울시 서초구 잠원동,15,3701694,25
F,서울시 종로구 혜화동,10,5099584,38
M,서울시 송파구 잠실6동,15,1435893,52
M,서울시 용산구 원효로1동,14,356838,38
F,서울시 강남구 수서동,16,2563477,38
F,서울시 동대문구 전농2동,8,78431,47
F,서울시 동작구 상도4동,11,952357,39
F,서울시 관악구 행운동,20,2459237,39
M,서울시 중구 신당5동,7,978837,63
M,서울시 성동구 행당2동,19,307166,63
M,서울시 광진구 자양1동,2,23024255,45
M,서울시 강북구 송중동,14,329148,35
F,서울시 금천구 대림2동,9,648901,30
F,서울시 성동구 마장동,17,904943,46
M,서울시 강남구 도곡2동,9,864374,25
F,서울시 동작구 대방동,6,11992801,30
M,서울시 중랑구 중화1동,8,925875,54
M,서울시 강남구 일원본동,10,875126,53
F,서울시 은평구 대조동,12,7446825,48
M,서울시 강남구 도곡2동,2,24943712,33
F,서울시 서대문구 남가좌1동,5,875623,28
F,서울시 노원구 상계9동,7,275476,57
M,서울시 송파구 마천1동,11,7081673,32
F,서울시 강서구 가양1동,4,545321,40
M,서울시 은평구 신사1동,9,9434886,67
M,서울시 강동구 암사3동,3,46581,50
F,서울시 강서구 방화1동,8,206500,45
F,서울시 노원구 공릉2동,17,800159,21
M,서울시 중랑구 묵2동,6,28748062,63
F,서울시 금천구 시흥5동,6,266726,60
F,서울시 종로구 숭인2동,2,789450,24
M,서울시 성북구 동선동,16,25881913,63
M,서울시 노원구 상계1동,1,317036,22
F,서울시 성북구 장위2동,2,5776936,29
F,서울시 동작구 대방동,12,8773841,26
F,서울시 강서구 가양2동,19,15060319,32
M,서울시 서대문구 홍1동,10,875126,53
F,서울시 도봉구 창5동,10,3146111,44
M,서울시 은평구 응암3동,16,26844,44
F,서울시 성북구 정릉2동,12,62972422,46
F,서울시 관악구 은천동,3,266304,61
F,서울시 강동구 상일동,15,6512717,40
M,서울시 금천구 양평1동,4,277354,45
F,서울시 금천구 대림2동,6,611891,28
F,서울시 강동구 명일1동,3,531530,45
F,서울시 강동구 둔촌2동,8,26620,64
M,서울시 은평구 구산동,3,493590,41
M,서울시 구로구 개봉2동,19,972355,36
F,서울시 은평구 증산동,7,579364,42
F,서울시 양천구 신정1동,18,9285179,23
M,서울시 노원구 공릉2동,14,947226,24
M,서울시 동대문구 답십리2동,17,425508,43
F,서울시 도봉구 도봉2동,12,4240661,55
F,서울시 송파구 잠실2동,12,5070377,44
F,서울시 성동구 송정동,7,125104,64
M,서울시 금천구 당산1동,5,769310,56
F,서울시 구로구 고척2동,10,65947,43
M,서울시 광진구 자양3동,3,23207001,47
M,서울시 은평구 역촌동,3,493590,27
F,서울시 서초구 서초4동,20,9112739,47
F,서울시 성북구 안암동,18,743608,70
F,서울시 송파구 잠실3동,7,957069,64
F,서울시 동대문구 장안1동,10,5237294,60
M,서울시 서대문구 천연동,19,9382968,35
M,서울시 서초구 잠원동,5,136204,45
F,서울시 금천구 여의동,12,829033,35
M,서울시 강북구 삼양동,17,248993,23
F,서울시 양천구 목2동,11,590311,56
M,서울시 동작구 대방동,9,19864,43
F,서울시 은평구 신사1동,15,689448,34
M,서울시 금천구 시흥2동,5,3423922,27
F,서울시 양천구 신정7동,6,9253175,57
