gender,address,trade_term,recept_balance,age
M,서울시 금천구 시흥1동,3,9658846,43
F,서울시 강북구 삼양동,7,3885329,35
F,서울시 동대문구 휘경2동,9,3070251,40
F,서울시 관악구 대학동,17,527308,45
M,서울시 금천구 신길3동,6,25872319,54
F,서울시 마포구 서교동,2,4332436,58
M,서울시 서대문구 북아현동,9,3070251,59
F,서울시 강남구 압구정동,3,6012616,33
M,서울시 양천구 신정3동,8,5123046,53
M,서울시 강동구 명일1동,10,52290,52
F,서울시 성동구 사근동,15,9066969,43
M,서울시 송파구 잠실2동,1,317036,44
M,서울시 구로구 수궁동,2,23024255,43
M,서울시 은평구 역촌동,7,588961,20
M,서울시 송파구 거여2동,19,7185105,27
M,서울시 은평구 신사1동,15,737178,58
F,서울시 양천구 신정3동,6,266501,44
M,서울시 관악구 삼성동,7,511856,49
F,서울시 중랑구 상봉2동,6,801181,27
M,서울시 중랑구 상봉2동,17,825714,51
M,서울시 동작구 사당3동,13,947226,52
M,서울시 서초구 양재1동,18,425508,67
M,서울시 광진구 화양동,13,906030,36
M,서울시 금천구 시흥5동,15,492838,60
M,서울시 동작구 상도3동,8,5161023,69
F,서울시 강남구 신사동,8,27927,25
F,서울시 은평구 역촌동,16,3539418,57
M,서울시 금천구 당산2동,20,347499,30
F,서울시 성동구 성수2가1동,3,3108148,61
M,서울시 구로구 구로1동,14,7177617,66
M,서울시 관악구 남현동,10,705330,57
F,서울시 양천구 목5동,18,26801032,43
F,서울시 동대문구 제기동,17,4483468,32
F,서울시 광진구 자양3동,8,1937677,70
M,서울시 구로구 구로1동,3,268686,53
F,서울시 송파구 문정1동,1,692350,44
M,서울시 강서구 우장산동,7,4439805,39
M,서울시 서대문구 홍3동,2,909789,31
F,서울시 은평구 갈현1동,4,8621945,47
F,서울시 강서구 화곡3동,6,823884,64
F,서울시 서초구 반포본동,17,416921,67
F,서울시 금천구 신길6동,17,521420,26
M,서울시 중랑구 면목4동,19,3701694,64
M,서울시 중랑구 묵1동,21,393070,57
F,서울시 강북구 미아동,8,28222,46
M,서울시 구로구 구로1동,1,963923,49
F,서울시 양천구 신월2동,17,630474,63
F,서울시 서초구 잠원동,16,876573,62
F,서울시 중랑구 면목5동,5,4582844,47
F,서울시 은평구 진관동,12,249370,28
M,서울시 서초구 잠원동,15,3701694,52
F,서울시 종로구 혜화동,10,5099584,64
M,서울시 송파구 잠실6동,15,1435893,24
M,서울시 용산구 원효로1동,14,356838,42
F,서울시 강남구 수서동,16,2563477,60
F,서울시 동대문구 전농2동,8,78431,48
F,서울시 동작구 상도4동,11,952357,24
F,서울시 관악구 행운동,20,2459237,36
M,서울시 중구 신당5동,7,978837,58
M,서울시 성동구 행당2동,19,307166,65
M,서울시 광진구 자양1동,2,23024255,23
M,서울시 강북구 송중동,14,329148,44
F,서울시 금천구 대림2동,9,648901,58
F,서울시 성동구 마장동,17,904943,36
M,서울시 강남구 도곡2동,9,864374,70
F,서울시 동작구 대방동,6,11992801,52
M,서울시 중랑구 중화1동,8,925875,47
M,서울시 강남구 일원본동,10,875126,37
F,서울시 은평구 대조동,12,7446825,69
M,서울시 강남구 도곡2동,2,24943712,37
F,서울시 서대문구 남가좌1동,5,875623,42
F,서울시 노원구 상계9동,7,275476,53
M,서울시 송파구 마천1동,11,7081673,47
F,서울시 강서구 가양1동,4,545321,57
M,서울시 은평구 신사1동,9,9434886,32
M,서울시 강동구 암사3동,3,46581,21
F,서울시 강서구 방화1동,8,206500,60
F,서울시 노원구 공릉2동,17,800159,32
M,서울시 중랑구 묵2동,6,28748062,35
F,서울시 금천구 시흥5동,6,266726,58
F,서울시 종로구 숭인2동,2,789450,54
M,서울시 성북구 동선동,16,25881913,63
M,서울시 노원구 상계1동,1,317036,51
F,서울시 성북구 장위2동,2,5776936,30
F,서울시 동작구 대방동,12,8773841,28
F,서울시 강서구 가양2동,19,15060319,57
M,서울시 서대문구 홍1동,10,875126,54
F,서울시 도봉구 창5동,10,3146111,38
M,서울시 은평구 응암3동,16,26844,22
F,서울시 성북구 정릉2동,12,62972422,51
F,서울시 관악구 은천동,3,266304,36
F,서울시 강동구 상일동,15,6512717,57
M,서울시 금천구 양평1동,4,277354,30
F,서울시 금천구 대림2동,6,611891,50
F,서울시 강동구 명일1동,3,531530,43
F,서울시 강동구 둔촌2동,8,26620,50
M,서울시 은평구 구산동,3,493590,59
M,서울시 구로구 개봉2동,19,972355,53
F,서울시 은평구 증산동,7,579364,44
F,서울시 양천구 신정1동,18,9285179,57
M,서울시 노원구 공릉2동,14,947226,67
M,서울시 동대문구 답십리2동,17,425508,50
F,서울시 도봉구 도봉2동,12,4240661,62
F,서울시 송파구 잠실2동,12,5070377,24
F,서울시 성동구 송정동,7,125104,33
M,서울시 금천구 당산1동,5,769310,32
F,서울시 구로구 고척2동,10,65947,50
M,서울시 광진구 자양3동,3,23207001,21
M,서울시 은평구 역촌동,3,493590,29
F,서울시 서초구 서초4동,20,9112739,59
F,서울시 성북구 안암동,18,743608,33
F,서울시 송파구 잠실3동,7,957069,52
F,서울시 동대문구 장안1동,10,5237294,36
M,서울시 서대문구 천연동,19,9382968,36
M,서울시 서초구 잠원동,5,136204,54
F,서울시 금천구 여의동,12,829033,28
M,서울시 강북구 삼양동,17,248993,50
F,서울시 양천구 목2동,11,590311,23
M,서울시 동작구 대방동,9,19864,60
F,서울시 은평구 신사1동,15,689448,32
M,서울시 금천구 시흥2동,5,3423922,53
F,서울시 양천구 신정7동,6,9253175,61
M,서울시 강서구 방화3동,16,6912711,67
M,서울시 성동구 왕십리도선동,16,251564,41
F,서울시 강남구 논현1동,9,921442,63
M,서울시 마포구 망원1동,8,2355003,42
M,서울시 송파구 위례동,4,245439,30
M,서울시 송파구 송파1동,4,661805,64
M,서울시 성동구 성수2가1동,2,2717691,36
M,서울시 금천구 문래동,2,739720,69
M,서울시 송파구 석촌동,19,644303,39
F,서울시 강동구 암사3동,9,304655,58
M,서울시 동대문구 장안1동,16,959819,64
F,서울시 구로구 구로4동,21,588698,27
M,서울시 중랑구 묵2동,12,318644,45
M,서울시 관악구 미성동,11,115997,23
M,서울시 종로구 창신3동,10,653984,58
F,서울시 관악구 은천동,3,851265,47
F,서울시 광진구 자양4동,18,4559120,44
M,서울시 성동구 행당2동,6,258933,27
M,서울시 금천구 여의동,1,8941414,63
F,서울시 동작구 상도4동,6,6189128,42
M,서울시 서초구 잠원동,5,429123,67
M,서울시 성북구 정릉2동,8,26402854,56
M,서울시 서대문구 연희동,11,973030,27
M,서울시 금천구 양평1동,9,138285,36
F,서울시 관악구 청림동,19,4559120,59
M,서울시 광진구 군자동,1,88358,54
M,서울시 마포구 신수동,24,2799952,68
M,서울시 동작구 신대방2동,8,836106,50
M,서울시 중랑구 신내1동,7,8189142,67
F,서울시 서초구 반포본동,15,884137,33
M,서울시 관악구 신원동,11,4426458,24
F,서울시 양천구 신정4동,10,840937,22
M,서울시 노원구 공릉1동,3,3946151,55
F,서울시 서초구 내곡동,11,7138181,41
F,서울시 광진구 광장동,10,682794,34
F,서울시 노원구 상계2동,13,850764,42
F,서울시 종로구 혜화동,10,807390,38
M,서울시 관악구 보라매동,16,589796,41
F,서울시 양천구 목5동,10,807390,56
M,서울시 동작구 노량진1동,5,7736475,54
F,서울시 송파구 방이1동,14,867267,30
F,서울시 강남구 삼성2동,10,275476,49
M,서울시 구로구 구로1동,14,147495,48
F,서울시 성북구 월곡2동,20,718045,43
F,서울시 은평구 응암3동,5,223356,53
F,서울시 마포구 대흥동,11,952357,54
F,서울시 서대문구 북가좌2동,17,331111,54
F,서울시 성북구 월곡2동,5,274489,62
M,서울시 강북구 송천동,3,3301075,60
F,서울시 도봉구 방학3동,2,900948,54
M,서울시 관악구 삼성동,14,3916040,48
F,서울시 강동구 상일동,15,6512717,49
M,서울시 성북구 돈암1동,2,9300196,57
F,서울시 서대문구 북가좌2동,17,331111,67
M,서울시 마포구 성산1동,13,4614120,42
M,서울시 동대문구 제기동,11,6815864,48
M,서울시 송파구 삼전동,9,28781,41
F,서울시 은평구 진관동,8,542772,58
M,서울시 강서구 발산1동,13,3860266,30
F,서울시 강동구 명일1동,17,6951875,54
M,서울시 강서구 공항동,13,700108,35
F,서울시 강남구 논현1동,14,29174749,62
F,서울시 도봉구 방학2동,6,610752,58
F,서울시 도봉구 도봉2동,4,334335,40
F,서울시 강남구 논현1동,16,717265,60
F,서울시 강서구 공항동,3,845245,39
M,서울시 노원구 월계2동,19,309961,30
M,서울시 금천구 독산3동,17,2661621,36
M,서울시 양천구 신월1동,8,45108,32
F,서울시 동대문구 청량리동,6,406997,56
M,서울시 구로구 수궁동,19,600256,58
M,서울시 용산구 한강로동,19,787361,34
M,서울시 구로구 가리봉동,3,647602,57
