gender,address,trade_term,recept_balance,age
M,서울시 금천구 시흥1동,3,9658846,44
F,서울시 강북구 삼양동,7,3885329,43
F,서울시 동대문구 휘경2동,9,3070251,60
F,서울시 관악구 대학동,17,527308,41
M,서울시 금천구 신길3동,6,25872319,52
F,서울시 마포구 서교동,2,4332436,44
M,서울시 서대문구 북아현동,9,3070251,58
F,서울시 강남구 압구정동,3,6012616,65
M,서울시 양천구 신정3동,8,5123046,50
M,서울시 강동구 명일1동,10,52290,34
F,서울시 성동구 사근동,15,9066969,49
M,서울시 송파구 잠실2동,1,317036,58
M,서울시 구로구 수궁동,2,23024255,54
M,서울시 은평구 역촌동,7,588961,34
M,서울시 송파구 거여2동,19,7185105,23
M,서울시 은평구 신사1동,15,737178,33
F,서울시 양천구 신정3동,6,266501,33
M,서울시 관악구 삼성동,7,511856,54
F,서울시 중랑구 상봉2동,6,801181,38
M,서울시 중랑구 상봉2동,17,825714,62
M,서울시 동작구 사당3동,13,947226,35
M,서울시 서초구 양재1동,18,425508,37
M,서울시 광진구 화양동,13,906030,46
M,서울시 금천구 시흥5동,15,492838,45
M,서울시 동작구 상도3동,8,5161023,43
F,서울시 강남구 신사동,8,27927,23
F,서울시 은평구 역촌동,16,3539418,56
M,서울시 금천구 당산2동,20,347499,58
F,서울시 성동구 성수2가1동,3,3108148,32
M,서울시 구로구 구로1동,14,7177617,54
M,서울시 관악구 남현동,10,705330,40
F,서울시 양천구 목5동,18,26801032,40
F,서울시 동대문구 제기동,17,4483468,28
F,서울시 광진구 자양3동,8,1937677,56
M,서울시 구로구 구로1동,3,268686,46
F,서울시 송파구 문정1동,1,692350,66
M,서울시 강서구 우장산동,7,4439805,53
M,서울시 서대문구 홍3동,2,909789,24
F,서울시 은평구 갈현1동,4,8621945,63
F,서울시 강서구 화곡3동,6,823884,58
F,서울시 서초구 반포본동,17,416921,38
F,서울시 금천구 신길6동,17,521420,28
M,서울시 중랑구 면목4동,19,3701694,69
M,서울시 중랑구 묵1동,21,393070,29
F,서울시 강북구 미아동,8,28222,59
M,서울시 구로구 구로1동,1,963923,50
F,서울시 양천구 신월2동,17,630474,45
F,서울시 서초구 잠원동,16,876573,46
F,서울시 중랑구 면목5동,5,4582844,46
F,서울시 은평구 진관동,12,249370,45
M,서울시 서초구 잠원동,15,3701694,64
F,서울시 종로구 혜화동,10,5099584,56
M,서울시 송파구 잠실6동,15,1435893,22
M,서울시 용산구 원효로1동,14,356838,25
F,서울시 강남구 수서동,16,2563477,66
F,서울시 동대문구 전농2동,8,78431,25
F,서울시 동작구 상도4동,11,952357,50
F,서울시 관악구 행운동,20,2459237,44
M,서울시 중구 신당5동,7,978837,27
M,서울시 성동구 행당2동,19,307166,69
M,서울시 광진구 자양1동,2,23024255,57
M,서울시 강북구 송중동,14,329148,69
F,서울시 금천구 대림2동,9,648901,21
F,서울시 성동구 마장동,17,904943,29
M,서울시 강남구 도곡2동,9,864374,46
F,서울시 동작구 대방동,6,11992801,29
M,서울시 중랑구 중화1동,8,925875,50
M,서울시 강남구 일원본동,10,875126,41
F,서울시 은평구 대조동,12,7446825,25
M,서울시 강남구 도곡2동,2,24943712,42
F,서울시 서대문구 남가좌1동,5,875623,39
F,서울시 노원구 상계9동,7,275476,24
M,서울시 송파구 마천1동,11,7081673,53
F,서울시 강서구 가양1동,4,545321,21
M,서울시 은평구 신사1동,9,9434886,48
M,서울시 강동구 암사3동,3,46581,55
F,서울시 강서구 방화1동,8,206500,61
F,서울시 노원구 공릉2동,17,800159,58
M,서울시 중랑구 묵2동,6,28748062,39
F,서울시 금천구 시흥5동,6,266726,49
F,서울시 종로구 숭인2동,2,789450,70
M,서울시 성북구 동선동,16,25881913,22
M,서울시 노원구 상계1동,1,317036,54
F,서울시 성북구 장위2동,2,5776936,32
F,서울시 동작구 대방동,12,8773841,23
F,서울시 강서구 가양2동,19,15060319,51
M,서울시 서대문구 홍1동,10,875126,23
F,서울시 도봉구 창5동,10,3146111,30
M,서울시 은평구 응암3동,16,26844,42
F,서울시 성북구 정릉2동,12,62972422,38
F,서울시 관악구 은천동,3,266304,52
F,서울시 강동구 상일동,15,6512717,24
M,서울시 금천구 양평1동,4,277354,34
F,서울시 금천구 대림2동,6,611891,26
F,서울시 강동구 명일1동,3,531530,44
F,서울시 강동구 둔촌2동,8,26620,45
M,서울시 은평구 구산동,3,493590,25
M,서울시 구로구 개봉2동,19,972355,64
F,서울시 은평구 증산동,7,579364,70
F,서울시 양천구 신정1동,18,9285179,40
M,서울시 노원구 공릉2동,14,947226,33
M,서울시 동대문구 답십리2동,17,425508,46
F,서울시 도봉구 도봉2동,12,4240661,52
F,서울시 송파구 잠실2동,12,5070377,48
F,서울시 성동구 송정동,7,125104,44
M,서울시 금천구 당산1동,5,769310,39
F,서울시 구로구 고척2동,10,65947,64
M,서울시 광진구 자양3동,3,23207001,40
M,서울시 은평구 역촌동,3,493590,36
F,서울시 서초구 서초4동,20,9112739,43
F,서울시 성북구 안암동,18,743608,30
F,서울시 송파구 잠실3동,7,957069,44
F,서울시 동대문구 장안1동,10,5237294,64
M,서울시 서대문구 천연동,19,9382968,41
M,서울시 서초구 잠원동,5,136204,33
F,서울시 금천구 여의동,12,829033,61
M,서울시 강북구 삼양동,17,248993,44
F,서울시 양천구 목2동,11,590311,26
M,서울시 동작구 대방동,9,19864,22
F,서울시 은평구 신사1동,15,689448,39
M,서울시 금천구 시흥2동,5,3423922,40
F,서울시 양천구 신정7동,6,9253175,38
M,서울시 강서구 방화3동,16,6912711,35
M,서울시 성동구 왕십리도선동,16,251564,62
F,서울시 강남구 논현1동,9,921442,63
M,서울시 마포구 망원1동,8,2355003,54
M,서울시 송파구 위례동,4,245439,67
M,서울시 송파구 송파1동,4,661805,44
M,서울시 성동구 성수2가1동,2,2717691,42
M,서울시 금천구 문래동,2,739720,25
M,서울시 송파구 석촌동,19,644303,64
F,서울시 강동구 암사3동,9,304655,57
M,서울시 동대문구 장안1동,16,959819,36
F,서울시 구로구 구로4동,21,588698,36
M,서울시 중랑구 묵2동,12,318644,30
M,서울시 관악구 미성동,11,115997,53
M,서울시 종로구 창신3동,10,653984,60
F,서울시 관악구 은천동,3,851265,41
F,서울시 광진구 자양4동,18,4559120,32
M,서울시 성동구 행당2동,6,258933,24
M,서울시 금천구 여의동,1,8941414,60
F,서울시 동작구 상도4동,6,6189128,26
M,서울시 서초구 잠원동,5,429123,54
M,서울시 성북구 정릉2동,8,26402854,60
M,서울시 서대문구 연희동,11,973030,51
M,서울시 금천구 양평1동,9,138285,38
F,서울시 관악구 청림동,19,4559120,48
M,서울시 광진구 군자동,1,88358,70
M,서울시 마포구 신수동,24,2799952,40
M,서울시 동작구 신대방2동,8,836106,62
M,서울시 중랑구 신내1동,7,8189142,71
F,서울시 서초구 반포본동,15,884137,57
M,서울시 관악구 신원동,11,4426458,54
F,서울시 양천구 신정4동,10,840937,22
M,서울시 노원구 공릉1동,3,3946151,53
F,서울시 서초구 내곡동,11,7138181,42
F,서울시 광진구 광장동,10,682794,43
F,서울시 노원구 상계2동,13,850764,37
F,서울시 종로구 혜화동,10,807390,39
M,서울시 관악구 보라매동,16,589796,24
F,서울시 양천구 목5동,10,807390,57
M,서울시 동작구 노량진1동,5,7736475,35
F,서울시 송파구 방이1동,14,867267,48
F,서울시 강남구 삼성2동,10,275476,59
M,서울시 구로구 구로1동,14,147495,60
F,서울시 성북구 월곡2동,20,718045,38
F,서울시 은평구 응암3동,5,223356,60
F,서울시 마포구 대흥동,11,952357,39
F,서울시 서대문구 북가좌2동,17,331111,58
F,서울시 성북구 월곡2동,5,274489,29
M,서울시 강북구 송천동,3,3301075,55
F,서울시 도봉구 방학3동,2,900948,44
M,서울시 관악구 삼성동,14,3916040,26
F,서울시 강동구 상일동,15,6512717,58
M,서울시 성북구 돈암1동,2,9300196,57
F,서울시 서대문구 북가좌2동,17,331111,65
M,서울시 마포구 성산1동,13,4614120,33
M,서울시 동대문구 제기동,11,6815864,34
M,서울시 송파구 삼전동,9,28781,43
F,서울시 은평구 진관동,8,542772,27
M,서울시 강서구 발산1동,13,3860266,46
F,서울시 강동구 명일1동,17,6951875,64
M,서울시 강서구 공항동,13,700108,53
F,서울시 강남구 논현1동,14,29174749,52
F,서울시 도봉구 방학2동,6,610752,30
F,서울시 도봉구 도봉2동,4,334335,62
F,서울시 강남구 논현1동,16,717265,33
F,서울시 강서구 공항동,3,845245,54
M,서울시 노원구 월계2동,19,309961,41
M,서울시 금천구 독산3동,17,2661621,54
M,서울시 양천구 신월1동,8,45108,50
F,서울시 동대문구 청량리동,6,406997,50
M,서울시 구로구 수궁동,19,600256,42
M,서울시 용산구 한강로동,19,787361,58
M,서울시 구로구 가리봉동,3,647602,54
F,서울시 중랑구 면목3동,9,990950,23
M,서울시 서대문구 충현동,14,356838,60
F,서울시 성동구 행당2동,8,925875,50
M,서울시 양천구 신월1동,19,177987,44
F,서울시 도봉구 창1동,13,908489,54
M,서울시 용산구 한남동,12,829033,50
F,서울시 도봉구 창2동,4,851265,27
F,서울시 송파구 잠실본동,13,8017047,63
F,서울시 금천구 문래동,12,739720,50
F,서울시 강서구 공항동,3,4436249,63
M,서울시 강남구 삼성1동,11,882673,45
M,서울시 금천구 독산3동,1,991966,27
M,서울시 서대문구 연희동,14,26685,42
M,서울시 강북구 번1동,7,28534782,33
M,서울시 양천구 신월1동,1,491206,53
F,서울시 서대문구 북가좌2동,8,931621,70
F,서울시 성북구 장위2동,14,987879,51
F,서울시 금천구 시흥1동,3,1315002,66
M,서울시 노원구 공릉2동,5,6824470,46
F,서울시 노원구 하계1동,3,757951,56
M,서울시 강북구 수유3동,18,7712104,53
M,서울시 서대문구 홍3동,11,709256,63
M,서울시 송파구 잠실본동,1,2610177,52
F,서울시 구로구 고척1동,18,607217,54
M,서울시 종로구 종로1가,7,96071082,64
F,서울시 강서구 화곡6동,5,920543,40
F,서울시 강동구 성내3동,16,25083,45
M,서울시 관악구 삼성동,16,617293,57
F,서울시 서대문구 신촌동,1,24375307,48
F,서울시 서대문구 홍2동,7,1937677,54
