gender,address,trade_term,recept_balance,age
M,서울시 금천구 시흥1동,3,9658846,70
F,서울시 강북구 삼양동,7,3885329,34
F,서울시 동대문구 휘경2동,9,3070251,53
F,서울시 관악구 대학동,17,527308,52
M,서울시 금천구 신길3동,6,25872319,44
F,서울시 마포구 서교동,2,4332436,29
M,서울시 서대문구 북아현동,9,3070251,26
F,서울시 강남구 압구정동,3,6012616,26
M,서울시 양천구 신정3동,8,5123046,56
M,서울시 강동구 명일1동,10,52290,34
F,서울시 성동구 사근동,15,9066969,53
M,서울시 송파구 잠실2동,1,317036,43
M,서울시 구로구 수궁동,2,23024255,41
M,서울시 은평구 역촌동,7,588961,43
M,서울시 송파구 거여2동,19,7185105,44
M,서울시 은평구 신사1동,15,737178,51
F,서울시 양천구 신정3동,6,266501,43
M,서울시 관악구 삼성동,7,511856,47
F,서울시 중랑구 상봉2동,6,801181,37
M,서울시 중랑구 상봉2동,17,825714,54
M,서울시 동작구 사당3동,13,947226,28
M,서울시 서초구 양재1동,18,425508,69
M,서울시 광진구 화양동,13,906030,57
M,서울시 금천구 시흥5동,15,492838,53
M,서울시 동작구 상도3동,8,5161023,32
F,서울시 강남구 신사동,8,27927,46
F,서울시 은평구 역촌동,16,3539418,58
M,서울시 금천구 당산2동,20,347499,38
F,서울시 성동구 성수2가1동,3,3108148,71
M,서울시 구로구 구로1동,14,7177617,37
M,서울시 관악구 남현동,10,705330,36
F,서울시 양천구 목5동,18,26801032,25
F,서울시 동대문구 제기동,17,4483468,32
F,서울시 광진구 자양3동,8,1937677,24
M,서울시 구로구 구로1동,3,268686,28
F,서울시 송파구 문정1동,1,692350,71
M,서울시 강서구 우장산동,7,4439805,36
M,서울시 서대문구 홍3동,2,909789,53
F,서울시 은평구 갈현1동,4,8621945,50
F,서울시 강서구 화곡3동,6,823884,49
F,서울시 서초구 반포본동,17,416921,53
F,서울시 금천구 신길6동,17,521420,39
M,서울시 중랑구 면목4동,19,3701694,56
M,서울시 중랑구 묵1동,21,393070,66
F,서울시 강북구 미아동,8,28222,38
M,서울시 구로구 구로1동,1,963923,70
F,서울시 양천구 신월2동,17,630474,54
F,서울시 서초구 잠원동,16,876573,62
F,서울시 중랑구 면목5동,5,4582844,60
F,서울시 은평구 진관동,12,249370,46
M,서울시 서초구 잠원동,15,3701694,56
F,서울시 종로구 혜화동,10,5099584,71
M,서울시 송파구 잠실6동,15,1435893,40
M,서울시 용산구 원효로1동,14,356838,53
F,서울시 강남구 수서동,16,2563477,42
F,서울시 동대문구 전농2동,8,78431,35
F,서울시 동작구 상도4동,11,952357,56
F,서울시 관악구 행운동,20,2459237,55
M,서울시 중구 신당5동,7,978837,48
M,서울시 성동구 행당2동,19,307166,43
M,서울시 광진구 자양1동,2,23024255,57
M,서울시 강북구 송중동,14,329148,36
F,서울시 금천구 대림2동,9,648901,33
F,서울시 성동구 마장동,17,904943,25
M,서울시 강남구 도곡2동,9,864374,53
F,서울시 동작구 대방동,6,11992801,34
M,서울시 중랑구 중화1동,8,925875,28
M,서울시 강남구 일원본동,10,875126,45
F,서울시 은평구 대조동,12,7446825,61
M,서울시 강남구 도곡2동,2,24943712,62
F,서울시 서대문구 남가좌1동,5,875623,46
F,서울시 노원구 상계9동,7,275476,43
M,서울시 송파구 마천1동,11,7081673,58
F,서울시 강서구 가양1동,4,545321,57
M,서울시 은평구 신사1동,9,9434886,20
M,서울시 강동구 암사3동,3,46581,71
F,서울시 강서구 방화1동,8,206500,59
F,서울시 노원구 공릉2동,17,800159,34
M,서울시 중랑구 묵2동,6,28748062,40
F,서울시 금천구 시흥5동,6,266726,57
F,서울시 종로구 숭인2동,2,789450,58
M,서울시 성북구 동선동,16,25881913,54
M,서울시 노원구 상계1동,1,317036,28
F,서울시 성북구 장위2동,2,5776936,41
F,서울시 동작구 대방동,12,8773841,54
F,서울시 강서구 가양2동,19,15060319,30
M,서울시 서대문구 홍1동,10,875126,46
F,서울시 도봉구 창5동,10,3146111,35
M,서울시 은평구 응암3동,16,26844,23
F,서울시 성북구 정릉2동,12,62972422,29
F,서울시 관악구 은천동,3,266304,60
F,서울시 강동구 상일동,15,6512717,64
M,서울시 금천구 양평1동,4,277354,51
F,서울시 금천구 대림2동,6,611891,50
F,서울시 강동구 명일1동,3,531530,54
F,서울시 강동구 둔촌2동,8,26620,25
M,서울시 은평구 구산동,3,493590,41
M,서울시 구로구 개봉2동,19,972355,54
F,서울시 은평구 증산동,7,579364,46
F,서울시 양천구 신정1동,18,9285179,58
M,서울시 노원구 공릉2동,14,947226,50
M,서울시 동대문구 답십리2동,17,425508,54
F,서울시 도봉구 도봉2동,12,4240661,53
F,서울시 송파구 잠실2동,12,5070377,67
F,서울시 성동구 송정동,7,125104,46
M,서울시 금천구 당산1동,5,769310,58
F,서울시 구로구 고척2동,10,65947,32
M,서울시 광진구 자양3동,3,23207001,62
M,서울시 은평구 역촌동,3,493590,32
F,서울시 서초구 서초4동,20,9112739,25
F,서울시 성북구 안암동,18,743608,43
F,서울시 송파구 잠실3동,7,957069,42
F,서울시 동대문구 장안1동,10,5237294,31
M,서울시 서대문구 천연동,19,9382968,36
M,서울시 서초구 잠원동,5,136204,26
F,서울시 금천구 여의동,12,829033,50
M,서울시 강북구 삼양동,17,248993,63
F,서울시 양천구 목2동,11,590311,52
M,서울시 동작구 대방동,9,19864,44
F,서울시 은평구 신사1동,15,689448,29
M,서울시 금천구 시흥2동,5,3423922,52
F,서울시 양천구 신정7동,6,9253175,52
M,서울시 강서구 방화3동,16,6912711,26
M,서울시 성동구 왕십리도선동,16,251564,45
F,서울시 강남구 논현1동,9,921442,53
M,서울시 마포구 망원1동,8,2355003,39
M,서울시 송파구 위례동,4,245439,30
M,서울시 송파구 송파1동,4,661805,69
M,서울시 성동구 성수2가1동,2,2717691,40
M,서울시 금천구 문래동,2,739720,54
M,서울시 송파구 석촌동,19,644303,26
F,서울시 강동구 암사3동,9,304655,32
M,서울시 동대문구 장안1동,16,959819,68
F,서울시 구로구 구로4동,21,588698,51
M,서울시 중랑구 묵2동,12,318644,64
M,서울시 관악구 미성동,11,115997,42
M,서울시 종로구 창신3동,10,653984,54
F,서울시 관악구 은천동,3,851265,36
F,서울시 광진구 자양4동,18,4559120,53
M,서울시 성동구 행당2동,6,258933,60
M,서울시 금천구 여의동,1,8941414,63
F,서울시 동작구 상도4동,6,6189128,29
M,서울시 서초구 잠원동,5,429123,58
M,서울시 성북구 정릉2동,8,26402854,50
M,서울시 서대문구 연희동,11,973030,61
M,서울시 금천구 양평1동,9,138285,64
F,서울시 관악구 청림동,19,4559120,57
M,서울시 광진구 군자동,1,88358,60
M,서울시 마포구 신수동,24,2799952,43
M,서울시 동작구 신대방2동,8,836106,46
M,서울시 중랑구 신내1동,7,8189142,66
F,서울시 서초구 반포본동,15,884137,53
