attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,53,F,2,High School,Married,$40K - $60K,Blue,2127.0
Attrited Customer,52,F,3,Post-Graduate,Married,Less than $40K,Blue,1438.3
Existing Customer,55,F,0,Uneducated,Unknown,Unknown,Blue,5393.0
Existing Customer,45,F,3,High School,Divorced,Less than $40K,Blue,2052.0
Existing Customer,42,M,2,Uneducated,Married,$80K - $120K,Blue,22120.0
Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,3472.0
Existing Customer,51,M,4,Graduate,Single,$80K - $120K,Silver,34516.0
Existing Customer,43,F,4,Unknown,Single,Unknown,Blue,3068.0
Existing Customer,40,F,3,Doctorate,Unknown,Unknown,Blue,2321.0
Existing Customer,49,M,2,Post-Graduate,Single,$60K - $80K,Blue,17575.0
Attrited Customer,42,F,3,Graduate,Married,Less than $40K,Blue,5505.0
Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,2291.0
Existing Customer,42,F,5,High School,Single,Less than $40K,Silver,13747.0
Existing Customer,44,F,3,High School,Single,Less than $40K,Blue,5362.0
Existing Customer,51,F,4,Graduate,Divorced,Less than $40K,Blue,1838.0
Existing Customer,47,F,4,Graduate,Single,$40K - $60K,Blue,1438.3
Existing Customer,42,F,2,College,Married,Less than $40K,Blue,2160.0
Existing Customer,38,F,4,College,Single,Less than $40K,Blue,1438.3
Existing Customer,44,F,3,Graduate,Married,Less than $40K,Silver,10343.0
Existing Customer,48,F,3,Unknown,Single,Less than $40K,Blue,2105.0
Existing Customer,40,F,3,Graduate,Divorced,Less than $40K,Blue,2684.0
Existing Customer,37,F,1,Uneducated,Single,Less than $40K,Blue,2388.0
Existing Customer,35,M,3,Graduate,Married,$80K - $120K,Blue,10230.0
Existing Customer,37,M,2,High School,Single,$60K - $80K,Blue,6385.0
Existing Customer,51,M,3,High School,Single,$60K - $80K,Blue,3031.0
Existing Customer,49,M,5,Unknown,Single,$80K - $120K,Blue,20895.0
Existing Customer,37,M,3,Graduate,Unknown,$40K - $60K,Blue,4878.0
Existing Customer,53,F,4,Graduate,Single,Unknown,Blue,9091.0
Existing Customer,43,M,2,College,Single,$120K +,Blue,33913.0
Attrited Customer,48,F,4,Unknown,Divorced,Less than $40K,Blue,4982.0
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue,2683.0
Existing Customer,40,F,3,Uneducated,Divorced,Unknown,Blue,8494.0
Existing Customer,36,M,3,Unknown,Married,$120K +,Blue,9926.0
Existing Customer,39,F,1,Graduate,Single,Less than $40K,Blue,2310.0
Existing Customer,56,M,2,Graduate,Single,$120K +,Blue,24431.0
Existing Customer,45,F,2,Uneducated,Married,Unknown,Blue,2467.0
Existing Customer,44,F,4,High School,Single,Unknown,Silver,33874.0
Existing Customer,36,F,3,College,Single,Less than $40K,Blue,2909.0
Existing Customer,39,M,4,Graduate,Married,$60K - $80K,Blue,3477.0
Existing Customer,49,F,3,Graduate,Single,Unknown,Blue,14072.0
Existing Customer,36,M,2,Unknown,Single,$120K +,Blue,1548.0
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,2965.0
Existing Customer,45,F,2,College,Single,Less than $40K,Blue,1695.0
Existing Customer,44,F,1,Graduate,Married,Less than $40K,Blue,1522.0
Existing Customer,56,F,2,Unknown,Married,Less than $40K,Blue,3682.0
Existing Customer,65,F,0,High School,Single,Less than $40K,Blue,7478.0
Existing Customer,44,M,4,Graduate,Married,$60K - $80K,Blue,1787.0
Existing Customer,50,F,1,Post-Graduate,Single,Less than $40K,Blue,2081.0
Existing Customer,39,M,0,Uneducated,Married,$40K - $60K,Blue,3152.0
Existing Customer,58,F,5,Uneducated,Married,Unknown,Blue,3025.0
Existing Customer,50,M,2,Graduate,Married,$120K +,Blue,20958.0
Existing Customer,50,F,2,Graduate,Single,Less than $40K,Blue,1901.0
Existing Customer,43,M,2,High School,Divorced,$80K - $120K,Blue,8111.0
Existing Customer,40,M,2,College,Married,$40K - $60K,Blue,4065.0
Existing Customer,54,F,2,High School,Single,$40K - $60K,Blue,2205.0
Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,34516.0
Existing Customer,43,F,2,High School,Unknown,Less than $40K,Blue,2422.0
Attrited Customer,47,F,2,Graduate,Single,Less than $40K,Gold,15164.0
Existing Customer,40,M,2,College,Single,$80K - $120K,Blue,15326.0
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,2240.0
Existing Customer,41,F,1,High School,Single,Less than $40K,Blue,2340.0
Existing Customer,48,F,4,College,Single,Unknown,Blue,3829.0
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,9771.0
Existing Customer,46,F,3,Graduate,Married,$40K - $60K,Blue,2644.0
Existing Customer,36,F,2,Doctorate,Unknown,$40K - $60K,Blue,3455.0
Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,2641.0
Existing Customer,42,M,2,Doctorate,Single,$60K - $80K,Blue,6318.0
Existing Customer,29,F,1,Unknown,Single,$40K - $60K,Blue,3959.0
Existing Customer,51,F,1,Graduate,Single,Unknown,Blue,2339.0
Existing Customer,44,F,1,Unknown,Single,Less than $40K,Blue,2936.0
Existing Customer,52,F,3,Unknown,Single,Less than $40K,Blue,1554.0
Existing Customer,53,M,3,Uneducated,Married,$60K - $80K,Blue,1973.0
Existing Customer,51,M,2,Graduate,Married,$60K - $80K,Blue,13116.0
Existing Customer,28,M,1,Post-Graduate,Married,$40K - $60K,Blue,2256.0
Existing Customer,38,M,2,Unknown,Divorced,$60K - $80K,Silver,25217.0
Attrited Customer,52,M,1,Unknown,Divorced,$80K - $120K,Blue,7570.0
Attrited Customer,49,F,3,Doctorate,Divorced,Less than $40K,Silver,10388.0
Existing Customer,36,F,2,Uneducated,Divorced,$40K - $60K,Blue,2941.0
Existing Customer,55,F,2,Doctorate,Married,Less than $40K,Blue,1669.0
Existing Customer,54,M,1,Post-Graduate,Single,$60K - $80K,Blue,20401.0
