123,111,222,333,444,55,66
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
12341,12341,12341,12341,12341,12341,12341
